ActicityInstID                	撤销到该活动实例ID
RoleIDs                       	半角逗号间隔的角色ID列表
RoleName                      	角色名称
RollBackStatus                	回滚到指定的状态
Route                         	路由
SLValidFrom                   	安全许可有效期自
Secret                        	授权码
SecurityLicCode               	安全许可证编号
SeqNo                         	顺序编号
ServiceOperator               	服务运营商
Sex                           	性别
Status                        	职业资格状态
TelPhone                      	手机号（手机号与用户名二选一）
Timestamp                     	时间戳
Token                         	秘钥secret加密后的鉴权key
Type                          	类型0：登录验证码1：注册验证码
UserID                        	用户ID
UserName                      	用户名
ValidToDate                   	有效期到
Way                           	招标方式
WinDate                       	中标日期
WinNoteCode                   	施工中标通知编号
WinOrgName                    	中标单位名称
WinPrice                      	中标金额（万元）
XML                           	流程定义BPMN数据
actualInstallDate             	实际安装完成时间
actualMaintainDate            	实际维护完成时间
actualPauseDate               	实际暂停时间
actualRecoverDate             	实际恢复时间
actualRemoveDate              	实际拆除完成时间
agreeRemoveDate               	审核通过时间
appId                         	用户最后一次更新的来源appid
badDevId                      	故障的设备id，多个逗号间隔
badEnvironmentalDevId         	故障的设备id，多个逗号间隔
corpCode                      	申报施工单位组织机构代码
corpName                      	申报施工单位名称
dcPK                          	申报Id
declareDate                   	申报时间
declareRemark                 	申报备注
detectProId                   	远程监控系统项目主键
devFlowState                  	流程状态
devId                         	设备编号
devInstalPlace                	安装位置
devName                       	设备名称
devPlayConfig                 	全景成像测量摄像机设备运行参数配置
devType                       	设备类型
devUnitType                   	设备型号
devUnittype                   	设备型号
endDate                       	结束时间
highDev                       	设备高程(mm)
highTargeted                  	测量点高程(mm)
installRemark                 	安装备注
itemId                        	单位工程ID
laserIntensity                	测量点激光光强
laserRangingType              	激光测距型号(安全型激光)
latDev                        	设备纬度(精度7位小数)
latTargeted                   	测量点纬度(精度7位小数)
levelAngle                    	水平角度
lngDev                        	设备经度(精度7位小数)
lngTargeted                   	测量点经度(精度7位小数)
maintainDate                  	报修时间
maintainDescribe              	维护说明
maintainRemark                	报修备注
obd                           	测量点激光距离(mm)
operatorFileUrl               	运营商文件
oprDcPK                       	互联互通业务Id
oprId                         	监管系统id
oprType                       	业务类型
opticalFrequency1             	光波频率1(MHz)
opticalFrequency2             	光波频率2(MHz)
opticalFrequency3             	光波频率3(MHz)
passDate                      	审核通过时间
pauseDeclareDate              	暂停申请时间
pauseRemark                   	暂停备注
planRemoveDate                	计划拆除完成时间
prjName                       	项目名称
proId                         	项目主键
provincePrjNum                	项目省代码，审核通过的才有数据
reason                        	故障原因
recoverDeclareDate            	恢复申请时间
recoverRemark                 	恢复备注
remark                        	备注
removeDeclareDate             	拆除申报时间
removeDescribe                	拆除说明
removeRemark                  	拆除备注
serviceOperator               	服务运营商
staDate                       	申请时间
topoId                        	VSAP设备拓扑ID
verticalAngle                 	垂直角度
videoEnvironmentalStatus      	项目的环境侦测设备的故障状态
videoStatus                   	项目的所有设备的故障状态
